INFO:Training.base_trainer:Wandb set up. Run ID: pvknq1zf
INFO:Training.base_trainer:Preparing data
INFO:Training.base_trainer:Preparing data for AlgNN...
INFO:Training.base_trainer:Generating 100000 training points...
INFO:Training.base_trainer:  Removed 0 infeasible points. New N_train = 100000
INFO:Training.base_trainer:Generating 5000 validation points...
INFO:Training.base_trainer:Data preparation complete.
INFO:Training.base_trainer:--- Starting Stage 1: Adam Training for 5000 epochs ---
INFO:Training.base_trainer:Epoch 1320 | Train Loss: 3.84006166 | Val Loss: 3.81406522 | (Val P_bh MSE: 1.645623)
INFO:Training.base_trainer:Epoch 1330 | Train Loss: 3.80831003 | Val Loss: 3.78303504 | (Val P_bh MSE: 1.631700)
INFO:Training.base_trainer:Epoch 1340 | Train Loss: 3.77630997 | Val Loss: 3.75176215 | (Val P_bh MSE: 1.617790)
INFO:Training.base_trainer:Epoch 1350 | Train Loss: 3.74404788 | Val Loss: 3.72023201 | (Val P_bh MSE: 1.603888)
INFO:Training.base_trainer:Epoch 1360 | Train Loss: 3.71151161 | Val Loss: 3.68843246 | (Val P_bh MSE: 1.589989)
INFO:Training.base_trainer:Epoch 1370 | Train Loss: 3.67868757 | Val Loss: 3.65635061 | (Val P_bh MSE: 1.576091)
INFO:Training.base_trainer:Epoch 1380 | Train Loss: 3.64556289 | Val Loss: 3.62397218 | (Val P_bh MSE: 1.562188)
INFO:Training.base_trainer:Epoch 1390 | Train Loss: 3.61212468 | Val Loss: 3.59128404 | (Val P_bh MSE: 1.548274)
INFO:Training.base_trainer:Epoch 1400 | Train Loss: 3.57835841 | Val Loss: 3.55827260 | (Val P_bh MSE: 1.534346)
INFO:Training.base_trainer:Epoch 1410 | Train Loss: 3.54425049 | Val Loss: 3.52492428 | (Val P_bh MSE: 1.520396)
INFO:Training.base_trainer:Epoch 1420 | Train Loss: 3.50978827 | Val Loss: 3.49122524 | (Val P_bh MSE: 1.506419)
INFO:Training.base_trainer:Epoch 1430 | Train Loss: 3.47495866 | Val Loss: 3.45716262 | (Val P_bh MSE: 1.492410)
INFO:Training.base_trainer:Epoch 1440 | Train Loss: 3.43974781 | Val Loss: 3.42272329 | (Val P_bh MSE: 1.478362)
INFO:Training.base_trainer:Epoch 1450 | Train Loss: 3.40414453 | Val Loss: 3.38789487 | (Val P_bh MSE: 1.464271)
INFO:Training.base_trainer:Epoch 1460 | Train Loss: 3.36813641 | Val Loss: 3.35266709 | (Val P_bh MSE: 1.450130)
INFO:Training.base_trainer:Epoch 1470 | Train Loss: 3.33171344 | Val Loss: 3.31702781 | (Val P_bh MSE: 1.435933)
INFO:Training.base_trainer:Epoch 1480 | Train Loss: 3.29486609 | Val Loss: 3.28096962 | (Val P_bh MSE: 1.421677)
INFO:Training.base_trainer:Epoch 1490 | Train Loss: 3.25758648 | Val Loss: 3.24448419 | (Val P_bh MSE: 1.407356)
INFO:Training.base_trainer:Epoch 1500 | Train Loss: 3.21986818 | Val Loss: 3.20830798 | (Val P_bh MSE: 1.393255)
INFO:Training.base_trainer:Epoch 1510 | Train Loss: 3.18935156 | Val Loss: 3.17843699 | (Val P_bh MSE: 1.381681)
INFO:Training.base_trainer:Epoch 1520 | Train Loss: 3.15850878 | Val Loss: 3.14824581 | (Val P_bh MSE: 1.370045)
INFO:Training.base_trainer:Epoch 1530 | Train Loss: 3.12734413 | Val Loss: 3.11773801 | (Val P_bh MSE: 1.358346)
INFO:Training.base_trainer:Epoch 1540 | Train Loss: 3.09586120 | Val Loss: 3.08691645 | (Val P_bh MSE: 1.346583)
INFO:Training.base_trainer:Epoch 1550 | Train Loss: 3.06406260 | Val Loss: 3.05578637 | (Val P_bh MSE: 1.334758)
INFO:Training.base_trainer:Epoch 1560 | Train Loss: 3.03195167 | Val Loss: 3.02435040 | (Val P_bh MSE: 1.322869)
INFO:Training.base_trainer:Epoch 1570 | Train Loss: 2.99953413 | Val Loss: 2.99261570 | (Val P_bh MSE: 1.310920)
INFO:Training.base_trainer:Epoch 1580 | Train Loss: 2.96681738 | Val Loss: 2.96058941 | (Val P_bh MSE: 1.298910)
INFO:Training.base_trainer:Epoch 1590 | Train Loss: 2.93381023 | Val Loss: 2.92828131 | (Val P_bh MSE: 1.286842)
INFO:Training.base_trainer:Epoch 1600 | Train Loss: 2.90052414 | Val Loss: 2.89570332 | (Val P_bh MSE: 1.274718)
INFO:Training.base_trainer:Epoch 1610 | Train Loss: 2.86697125 | Val Loss: 2.86286926 | (Val P_bh MSE: 1.262541)
INFO:Training.base_trainer:Epoch 1620 | Train Loss: 2.83316803 | Val Loss: 2.82979465 | (Val P_bh MSE: 1.250313)
INFO:Training.base_trainer:Epoch 1630 | Train Loss: 2.79913116 | Val Loss: 2.79649854 | (Val P_bh MSE: 1.238040)
INFO:Training.base_trainer:Epoch 1640 | Train Loss: 2.76487994 | Val Loss: 2.76300025 | (Val P_bh MSE: 1.225725)
INFO:Training.base_trainer:Epoch 1650 | Train Loss: 2.73043752 | Val Loss: 2.72932386 | (Val P_bh MSE: 1.213374)
INFO:Training.base_trainer:Epoch 1660 | Train Loss: 2.69582820 | Val Loss: 2.69549489 | (Val P_bh MSE: 1.200992)
INFO:Training.base_trainer:Epoch 1670 | Train Loss: 2.66107821 | Val Loss: 2.66153979 | (Val P_bh MSE: 1.188584)
INFO:Training.base_trainer:Epoch 1680 | Train Loss: 2.62621713 | Val Loss: 2.62748933 | (Val P_bh MSE: 1.176157)
INFO:Training.base_trainer:Epoch 1690 | Train Loss: 2.59127665 | Val Loss: 2.59337544 | (Val P_bh MSE: 1.163718)
