INFO:Training.base_trainer:Wandb set up. Run ID: ryhsy9rb
INFO:Training.base_trainer:Preparing data
INFO:Training.base_trainer:Preparing data for AlgNN...
INFO:Training.base_trainer:Generating 100000 training points...
INFO:Training.base_trainer:  Removed 0 infeasible points. New N_train = 100000
INFO:Training.base_trainer:Generating 5000 validation points...
INFO:Training.base_trainer:Data preparation complete.
INFO:Training.base_trainer:--- Starting Stage 1: Adam Training for 5000 epochs ---
INFO:Training.base_trainer:Epoch 580 | Train Loss: 6.73530006 | Val Loss: 6.65889072 | (Val P_bh MSE: 2.343814)
INFO:Training.base_trainer:Epoch 590 | Train Loss: 6.66963816 | Val Loss: 6.59331369 | (Val P_bh MSE: 2.324680)
INFO:Training.base_trainer:Epoch 600 | Train Loss: 6.60281897 | Val Loss: 6.52667046 | (Val P_bh MSE: 2.306146)
INFO:Training.base_trainer:Epoch 610 | Train Loss: 6.53473520 | Val Loss: 6.45884085 | (Val P_bh MSE: 2.288165)
INFO:Training.base_trainer:Epoch 620 | Train Loss: 6.46530437 | Val Loss: 6.38973427 | (Val P_bh MSE: 2.270702)
INFO:Training.base_trainer:Epoch 630 | Train Loss: 6.39447308 | Val Loss: 6.31928921 | (Val P_bh MSE: 2.253721)
INFO:Training.base_trainer:Epoch 640 | Train Loss: 6.32222176 | Val Loss: 6.24747467 | (Val P_bh MSE: 2.237195)
INFO:Training.base_trainer:Epoch 650 | Train Loss: 6.24855804 | Val Loss: 6.17429781 | (Val P_bh MSE: 2.221102)
INFO:Training.base_trainer:Epoch 660 | Train Loss: 6.17353010 | Val Loss: 6.09980059 | (Val P_bh MSE: 2.205419)
INFO:Training.base_trainer:Epoch 670 | Train Loss: 6.09722376 | Val Loss: 6.02406645 | (Val P_bh MSE: 2.190125)
INFO:Training.base_trainer:Epoch 680 | Train Loss: 6.01976919 | Val Loss: 5.94722414 | (Val P_bh MSE: 2.175202)
INFO:Training.base_trainer:Epoch 690 | Train Loss: 5.94134426 | Val Loss: 5.86944771 | (Val P_bh MSE: 2.160629)
INFO:Training.base_trainer:Epoch 700 | Train Loss: 5.86217356 | Val Loss: 5.79096460 | (Val P_bh MSE: 2.146381)
INFO:Training.base_trainer:Epoch 710 | Train Loss: 5.78253269 | Val Loss: 5.71204567 | (Val P_bh MSE: 2.132433)
INFO:Training.base_trainer:Epoch 720 | Train Loss: 5.70273781 | Val Loss: 5.63300896 | (Val P_bh MSE: 2.118754)
INFO:Training.base_trainer:Epoch 730 | Train Loss: 5.62314653 | Val Loss: 5.55420732 | (Val P_bh MSE: 2.105312)
INFO:Training.base_trainer:Epoch 740 | Train Loss: 5.54414129 | Val Loss: 5.47602034 | (Val P_bh MSE: 2.092067)
INFO:Training.base_trainer:Epoch 750 | Train Loss: 5.46611691 | Val Loss: 5.39883709 | (Val P_bh MSE: 2.078982)
INFO:Training.base_trainer:Epoch 760 | Train Loss: 5.38945675 | Val Loss: 5.32303476 | (Val P_bh MSE: 2.066015)
INFO:Training.base_trainer:Epoch 770 | Train Loss: 5.31451702 | Val Loss: 5.24896383 | (Val P_bh MSE: 2.053124)
INFO:Training.base_trainer:Epoch 780 | Train Loss: 5.24160480 | Val Loss: 5.17692089 | (Val P_bh MSE: 2.040269)
INFO:Training.base_trainer:Epoch 790 | Train Loss: 5.17095470 | Val Loss: 5.10713387 | (Val P_bh MSE: 2.027412)
INFO:Training.base_trainer:Epoch 800 | Train Loss: 5.10272074 | Val Loss: 5.03974962 | (Val P_bh MSE: 2.014519)
INFO:Training.base_trainer:Epoch 810 | Train Loss: 5.03697157 | Val Loss: 4.97482777 | (Val P_bh MSE: 2.001556)
INFO:Training.base_trainer:Epoch 820 | Train Loss: 4.97368813 | Val Loss: 4.91234541 | (Val P_bh MSE: 1.988494)
INFO:Training.base_trainer:Epoch 830 | Train Loss: 4.91277409 | Val Loss: 4.85220528 | (Val P_bh MSE: 1.975305)
INFO:Training.base_trainer:Epoch 840 | Train Loss: 4.85407448 | Val Loss: 4.79425049 | (Val P_bh MSE: 1.961968)
INFO:Training.base_trainer:Epoch 850 | Train Loss: 4.79738855 | Val Loss: 4.73828363 | (Val P_bh MSE: 1.948462)
INFO:Training.base_trainer:Epoch 860 | Train Loss: 4.74249601 | Val Loss: 4.68408442 | (Val P_bh MSE: 1.934773)
INFO:Training.base_trainer:Epoch 870 | Train Loss: 4.68916464 | Val Loss: 4.63142586 | (Val P_bh MSE: 1.920893)
INFO:Training.base_trainer:Epoch 880 | Train Loss: 4.63716793 | Val Loss: 4.58008480 | (Val P_bh MSE: 1.906819)
INFO:Training.base_trainer:Epoch 890 | Train Loss: 4.58629560 | Val Loss: 4.52985668 | (Val P_bh MSE: 1.892552)
INFO:Training.base_trainer:Epoch 900 | Train Loss: 4.53635693 | Val Loss: 4.48055267 | (Val P_bh MSE: 1.878101)
INFO:Training.base_trainer:Epoch 910 | Train Loss: 4.48718071 | Val Loss: 4.43200827 | (Val P_bh MSE: 1.863473)
INFO:Training.base_trainer:Epoch 920 | Train Loss: 4.43862200 | Val Loss: 4.38407946 | (Val P_bh MSE: 1.848681)
INFO:Training.base_trainer:Epoch 930 | Train Loss: 4.39055395 | Val Loss: 4.33664513 | (Val P_bh MSE: 1.833739)
INFO:Training.base_trainer:Epoch 940 | Train Loss: 4.34286833 | Val Loss: 4.28959799 | (Val P_bh MSE: 1.818656)
INFO:Training.base_trainer:Epoch 950 | Train Loss: 4.29547215 | Val Loss: 4.24284840 | (Val P_bh MSE: 1.803444)
INFO:Training.base_trainer:Epoch 960 | Train Loss: 4.24828672 | Val Loss: 4.19632053 | (Val P_bh MSE: 1.788109)
INFO:Training.base_trainer:Epoch 970 | Train Loss: 4.20124435 | Val Loss: 4.14994621 | (Val P_bh MSE: 1.772656)
INFO:Training.base_trainer:Epoch 980 | Train Loss: 4.15428400 | Val Loss: 4.10366869 | (Val P_bh MSE: 1.757089)
INFO:Training.base_trainer:Epoch 990 | Train Loss: 4.10735607 | Val Loss: 4.05743599 | (Val P_bh MSE: 1.741404)
INFO:Training.base_trainer:Epoch 1000 | Train Loss: 4.06041241 | Val Loss: 4.01212692 | (Val P_bh MSE: 1.725915)
INFO:Training.base_trainer:Epoch 1010 | Train Loss: 4.02279806 | Val Loss: 3.97508669 | (Val P_bh MSE: 1.713163)
INFO:Training.base_trainer:Epoch 1020 | Train Loss: 3.98507619 | Val Loss: 3.93795037 | (Val P_bh MSE: 1.700298)
INFO:Training.base_trainer:Epoch 1030 | Train Loss: 3.94722509 | Val Loss: 3.90069366 | (Val P_bh MSE: 1.687317)
INFO:Training.base_trainer:Epoch 1040 | Train Loss: 3.90922546 | Val Loss: 3.86330032 | (Val P_bh MSE: 1.674218)
INFO:Training.base_trainer:Epoch 1050 | Train Loss: 3.87106299 | Val Loss: 3.82575631 | (Val P_bh MSE: 1.660993)
INFO:Training.base_trainer:Epoch 1060 | Train Loss: 3.83272505 | Val Loss: 3.78804755 | (Val P_bh MSE: 1.647636)
